T,xa,xb,spinodal_xa,spinodal_xb
300.0,[0],[1],[0.1102204408817635],[0.9939879759519036]
557.0,[0],[1],[0.12625250501002],[0.9879759519038076]
814.0,[0],[1],[0.1382765531062124],[0.9819639278557112]
1071.0,[0],[1],[0.1503006012024048],[0.9759519038076152]
1328.0,[0],[1],[0.1603206412825651],[0.969939879759519]
1585.0,[0],[1],[0.1703406813627254],[0.9639278557114228]
1842.0,[0.002004008016032],[1.0],[0.1803607214428857],[0.9579158316633266]
2099.0,[0.0040080160320641],[1.0],[0.1903807615230461],[0.9519038076152304]
2356.0,[0.0060120240480961],[1.0],[0.1983967935871743],[0.9458917835671342]
2613.0,[0.0120240480961923],[1.0],[0.2084168336673346],[0.937875751503006]
2870.0,[0.0160320641282565],[1.0],[0.2164328657314629],[0.9318637274549098]
3127.0,[0.0220440881763527],[0.9979959919839678],[0.2244488977955911],[0.9258517034068136]
3384.0,[0.0300601202404809],[0.9979959919839678],[0.2344689378757515],[0.9198396793587174]
3641.0,[0.0360721442885771],[0.9959919839679358],[0.2424849699398797],[0.9138276553106212]
3898.0,[0.0460921843687374],[0.9959919839679358],[0.250501002004008],[0.907815631262525]
4000.0,[0.0480961923847695],[0.9939879759519036],[0.2545090180360721],[0.9058116232464928]
4155.0,[0.0541082164328657],[0.9939879759519036],[0.2585170340681362],[0.9018036072144288]
4412.0,[0.064128256513026],[0.9919839679358716],[0.2665330661322645],[0.8937875751503005]
4669.0,[0.0721442885771543],[0.9879759519038076],[0.2745490981963928],[0.8877755511022043]
4926.0,[0.0821643286573146],[0.9859719438877754],[0.282565130260521],[0.8817635270541081]
5000.9,[0.0861723446893787],[0.9839679358717434],[0.284569138276553],[0.879759519038076]
5183.0,[0.094188376753507],[0.9819639278557112],[0.2905811623246492],[0.8757515030060119]
5440.0,[0.1042084168336673],[0.9779559118236472],[0.2985971943887775],[0.8677354709418837]
5697.0,[0.1162324649298597],[0.9719438877755512],[0.3066132264529058],[0.8617234468937875]
5954.0,[0.1282565130260521],[0.9679358717434868],[0.314629258517034],[0.8537074148296593]
6211.0,[0.1402805611222445],[0.9619238476953909],[0.3246492985971944],[0.8476953907815631]
6468.0,[0.1523046092184368],[0.9539078156312624],[0.3326653306613226],[0.8396793587174348]
6725.0,[0.1643286573146292],[0.9478957915831664],[0.3406813627254508],[0.8316633266533066]
6982.0,[0.1783567134268537],[0.939879759519038],[0.3486973947895791],[0.8256513026052104]
7239.0,[0.1903807615230461],[0.9318637274549098],[0.3587174348697394],[0.8176352705410821]
7496.0,[0.2044088176352705],[0.9238476953907816],[0.3667334669338677],[0.8096192384769538]
7753.0,[0.220440881763527],[0.9138276553106212],[0.376753507014028],[0.8016032064128256]
8000.0,[0.2344689378757515],[0.9038076152304608],[0.3847695390781562],[0.7935871743486973]
