x,deltaH,deltaS,deltaG_T0,deltaG_T1,deltaG_T2,deltaG_T3,deltaG_T4,deltaG_T5,deltaG_T6,deltaG_T7,deltaG_T8,deltaG_T9,deltaG_T10,deltaG_T11,deltaG_T12,deltaG_T13,deltaG_T14,deltaG_T15,deltaG_T16,deltaG_T17,deltaG_T18,deltaG_T19,deltaG_T20,deltaG_T21,deltaG_T22,deltaG_T23,deltaG_T24,deltaG_T25,deltaG_T26,deltaG_T27,deltaG_T28,deltaG_T29,deltaG_T30,deltaG_T31,deltaG_T32,d2deltaG_T0,d2deltaG_T1,d2deltaG_T2,d2deltaG_T3,d2deltaG_T4,d2deltaG_T5,d2deltaG_T6,d2deltaG_T7,d2deltaG_T8,d2deltaG_T9,d2deltaG_T10,d2deltaG_T11,d2deltaG_T12,d2deltaG_T13,d2deltaG_T14,d2deltaG_T15,d2deltaG_T16,d2deltaG_T17,d2deltaG_T18,d2deltaG_T19,d2deltaG_T20,d2deltaG_T21,d2deltaG_T22,d2deltaG_T23,d2deltaG_T24,d2deltaG_T25,d2deltaG_T26,d2deltaG_T27,d2deltaG_T28,d2deltaG_T29,d2deltaG_T30,d2deltaG_T31,d2deltaG_T32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002004008016032,0.0010031990104392,6.226908834276513e-07,0.0008163917454109,0.0006563601883699,0.000496328631329,0.0003362970742881,0.0001762655172472,1.6233960206372793e-05,-0.0001437975968345,-0.0003038291538754,-0.0004638607109163,-0.0006238922679572,-0.0007839238249981,-0.000943955382039,-0.0011039869390799,-0.0012640184961208,-0.0014240500531617,-0.0014875645232714,-0.0015840816102026,-0.0017441131672435,-0.0019041447242845,-0.0020641762813254,-0.0021108158284941,-0.0022242078383663,-0.0023842393954072,-0.0025442709524481,-0.002704302509489,-0.0028643340665299,-0.0030243656235708,-0.0031843971806117,-0.0033444287376526,-0.0035044602946935,-0.0036644918517344,-0.0038245234087753,-0.003978328056982,7.048593143935805,12.585230629338415,18.121868114741027,23.65850560014364,29.19514308554625,34.73178057094886,40.26841805635147,45.80505554175408,51.34169302715669,56.8783305125593,62.41496799796191,67.95160548336452,73.48824296876714,79.02488045416975,84.56151793957235,86.75893826451814,90.09815542497496,95.63479291037756,101.1714303957802,106.7080678811828,108.3216637864616,112.2447053665854,117.781342851988,123.31798033739062,128.85461782279322,134.39125530819584,139.92789279359846,145.46453027900105,151.00116776440368,156.53780524980627,162.0744427352089,167.6110802206115,172.93228434082334
0.0040080160320641,0.0020087498001929,1.1255078367454008e-06,0.0016710974491692,0.0013818419351257,0.0010925864210821,0.0008033309070385,0.000514075392995,0.0002248198789514,-6.443563509212803e-05,-0.0003536911491356,-0.0006429466631792,-0.0009322021772228,-0.0012214576912664,-0.0015107132053099,-0.0017999687193535,-0.0020892242333971,-0.0023784797474406,-0.0024932815467887,-0.0026677352614842,-0.0029569907755278,-0.0032462462895713,-0.0035355018036149,-0.0036198023405871,-0.0038247573176585,-0.004114012831702,-0.0044032683457456,-0.0046925238597892,-0.0049817793738327,-0.0052710348878763,-0.0055602904019199,-0.0058495459159634,-0.006138801430007,-0.0064280569440506,-0.0067173124580941,-0.0069953128937703,3.8092236195513687,6.583112420085072,9.357001220618772,12.130890021152474,14.904778821686175,17.67866762221988,20.45255642275358,23.22644522328729,26.000334023820987,28.774222824354688,31.548111624888392,34.3220004254221,37.0958892259558,39.8697780264895,42.6436668270232,43.74458767392763,45.41755562755691,48.191444428090605,50.96533322862431,53.739222029158014,54.54764331771822,56.51311082969171,59.28699963022542,62.06088843075912,64.83477723129282,67.60866603182652,70.38255483236021,73.15644363289393,75.93033243342762,78.70422123396132,81.47811003449503,84.25199883502873,86.91795421919926
0.0060120240480961,0.0030165946543942,1.582970833422348e-06,0.0025417034043674,0.0021348799001779,0.0017280563959884,0.0013212328917988,0.0009144093876093,0.0005075858834197,0.0001007623792302,-0.0003060611249593,-0.0007128846291488,-0.0011197081333383,-0.0015265316375279,-0.0019333551417174,-0.002340178645907,-0.0027470021500965,-0.0031538256542861,-0.0033152886792951,-0.0035606491584756,-0.0039674726626652,-0.0043742961668547,-0.0047811196710442,-0.0048996841864676,-0.0051879431752338,-0.0055947666794233,-0.0060015901836129,-0.0064084136878024,-0.006815237191992,-0.0072220606961815,-0.007628884200371,-0.0080357077045606,-0.0084425312087501,-0.0088493547129397,-0.0092561782171292,-0.0096471720129845,2.719909104634565,4.572896650152375,6.425884195670184,8.278871741187995,10.131859286705804,11.984846832223614,13.837834377741425,15.690821923259232,17.54380946877704,19.39679701429485,21.24978455981266,23.10277210533047,24.95575965084828,26.80874719636609,28.6617347418839,29.397161705474627,30.51472228740171,32.36770983291952,34.22069737843733,36.07368492395514,36.613719037415386,37.92667246947295,39.77966001499076,41.632647560508566,43.48563510602638,45.338622651544185,47.191610197062,49.0445977425798,50.897585288097616,52.75057283361542,54.60356037913324,56.45654792465105,58.23743478746388
0.0080160320641282,0.0040266760130126,2.0109196463314232e-06,0.0034234001191131,0.0029065937700059,0.0023897874208988,0.0018729810717916,0.0013561747226844,0.0008393683735772,0.0003225620244701,-0.000194244324637,-0.0007110506737442,-0.0012278570228514,-0.0017446633719585,-0.0022614697210657,-0.0027782760701729,-0.0032950824192801,-0.0038118887683872,-0.004017002572313,-0.0043286951174944,-0.0048455014666016,-0.0053623078157088,-0.0058791141648159,-0.0060297320463262,-0.0063959205139231,-0.0069127268630303,-0.0074295332121375,-0.0079463395612446,-0.0084631459103518,-0.008979952259459,-0.0094967586085662,-0.0100135649576733,-0.0105303713067805,-0.0110471776558877,-0.0115639840049949,-0.0120606811576387,2.168137337320865,3.5606855533463704,4.953233769371876,6.345781985397381,7.738330201422887,9.130878417448391,10.523426633473896,11.915974849499404,13.30852306552491,14.701071281550412,16.09361949757592,17.486167713601425,18.87871592962693,20.271264145652435,21.66381236167794,22.216496867649152,23.056360577703447,24.44890879372895,25.841457009754457,27.234005225779963,27.63984904438039,28.626553441805463,30.019101657830973,31.41164987385648,32.80419808988198,34.19674630590748,35.58929452193299,36.981842737958495,38.374390953984,39.76693917000951,41.15948738603501,42.55203560206052,43.89039906259865
0.0100200400801603,0.0050389364708537,2.416876924635352e-06,0.004313873393463,0.0036927360238318,0.0030715986542005,0.0024504612845692,0.0018293239149379,0.0012081865453066,0.0005870491756753,-3.408819395590412e-05,-0.0006552255635871,-0.0012763629332184,-0.0018975003028497,-0.002518637672481,-0.0031397750421123,-0.0037609124117436,-0.0043820497813749,-0.0046285712276877,-0.0050031871510061,-0.0056243245206374,-0.0062454618902687,-0.0068665992599,-0.0070476233415552,-0.0074877366295313,-0.0081088739991626,-0.0087300113687939,-0.0093511487384251,-0.0099722861080564,-0.0105934234776877,-0.011214560847319,-0.0118356982169503,-0.0124568355865816,-0.0130779729562128,-0.0136991103258441,-0.0142960789262291,1.8314058657509,2.9476995773826813,4.063993289014463,5.180287000646245,6.296580712278026,7.412874423909808,8.529168135541589,9.64546184717337,10.761755558805152,11.878049270436934,12.994342982068716,14.110636693700496,15.22693040533228,16.34322411696406,17.459517828595843,17.902560469010012,18.575811540227622,19.69210525185941,20.808398963491182,21.92469267512297,22.25002496695651,23.04098638675475,24.15728009838653,25.27357381001832,26.389867521650093,27.50616123328188,28.622454944913656,29.73874865654544,30.85504236817722,31.971336079809003,33.08762979144078,34.203923503072566,35.276781661722566
0.0120240480961923,0.0060533187775596,2.8052732655821407e-06,0.0052117367978849,0.0044907815686303,0.0037698263393757,0.0030488711101211,0.0023279158808665,0.0016069606516119,0.0008860054223572,0.0001650501931026,-0.0005559050361519,-0.0012768602654065,-0.0019978154946611,-0.0027187707239157,-0.0034397259531703,-0.0041606811824249,-0.0048816364116795,-0.0051677742847689,-0.0056025916409341,-0.0063235468701888,-0.0070445020994434,-0.007765457328698,-0.0079755722962901,-0.0084864125579526,-0.0092073677872072,-0.0099283230164618,-0.0106492782457164,-0.011370233474971,-0.0120911887042256,-0.0128121439334802,-0.0135330991627349,-0.0142540543919895,-0.0149750096212441,-0.0156959648504987,-0.0163888673470975,1.602213873070508,2.5343455389699336,3.466477204869359,4.3986088707687845,5.330740536668211,6.262872202567635,7.195003868467062,8.127135534366486,9.059267200265912,9.991398866165335,10.923530532064763,11.855662197964188,12.787793863863614,13.71992552976304,14.652057195662463,15.02200828485212,15.584188861561891,16.516320527461318,17.44845219336074,18.380583859260167,18.652244021812177,19.3127155251596,20.24484719105902,21.17697885695844,22.10911052285787,23.04124218875729,23.97337385465672,24.905505520556147,25.83763718645557,26.769768852355,27.701900518254423,28.63403218415385,29.529894135426836
0.0140280561122244,0.0070697658376083,3.179036138207724e-06,0.0061160549961459,0.0052990427086265,0.0044820304211072,0.0036650181335878,0.0028480058460684,0.002030993558549,0.0012139812710296,0.0003969689835102,-0.000420043304009,-0.0012370555915284,-0.0020540678790478,-0.0028710801665672,-0.0036880924540866,-0.004505104741606,-0.0053221170291254,-0.0056463787152225,-0.0061391293166447,-0.0069561416041641,-0.0077731538916835,-0.0085901661792029,-0.0088282759859547,-0.0094071784667223,-0.0102241907542417,-0.0110412030417611,-0.0118582153292804,-0.0126752276167998,-0.0134922399043192,-0.0143092521918386,-0.015126264479358,-0.0159432767668774,-0.0167602890543967,-0.0175773013419161,-0.0183625232680534,1.4344895810022198,2.235083503107475,3.035677425212731,3.836271347317987,4.636865269423242,5.4374591915284975,6.238053113633754,7.038647035739009,7.839240957844265,8.639834879949522,9.440428802054775,10.241022724160032,11.041616646265286,11.842210568370543,12.6428044904758,12.960549938159598,13.443398412581054,14.243992334686313,15.044586256791565,15.845180178896822,16.07850502234306,16.645774101002075,17.446368023107333,18.246961945212583,19.047555867317843,19.848149789423097,20.64874371152836,21.44933763363361,22.249931555738865,23.05052547784412,23.851119399949376,24.65171332205464,25.421155729681086
0.0160320641282565,0.0080882207103145,3.5402461101608475e-06,0.0070261468772662,0.0061163036269549,0.0052064603766435,0.0042966171263322,0.0033867738760208,0.0024769306257095,0.0015670873753982,0.0006572441250868,-0.0002525991252244,-0.0011624423755357,-0.0020722856258471,-0.0029821288761584,-0.0038919721264698,-0.0048018153767811,-0.0057116586270924,-0.0060727637303288,-0.0066215018774038,-0.0075313451277151,-0.0084411883780264,-0.0093510316283378,-0.0096161960619888,-0.0102608748786491,-0.0111707181289605,-0.0120805613792718,-0.0129904046295831,-0.0139002478798945,-0.0148100911302058,-0.0157199343805172,-0.0166297776308285,-0.0175396208811398,-0.0184494641314512,-0.0193593073817625,-0.0202337481709722,1.3051971007381655,2.0071435029098814,2.7090899050815977,3.4110363072533136,4.1129827094250295,4.814929111596746,5.516875513768462,6.218821915940178,6.920768318111894,7.62271472028361,8.324661122455325,9.02660752462704,9.728553926798757,10.430500328970473,11.13244673114219,11.411040244844582,11.834393133313906,12.536339535485622,13.238285937657338,13.940232339829054,14.14480738077326,14.64217874200077,15.344125144172486,16.0460715463442,16.74801794851592,17.449964350687637,18.15191075285935,18.85385715503107,19.555803557202783,20.2577499593745,20.95969636154621,21.66164276371793,22.33627607631098
0.0180360721442885,0.0091086266098288,3.8904587292872085e-06,0.0079414889910426,0.0069416410976158,0.005941793204189,0.0049419453107621,0.0039420974173353,0.0029422495239085,0.0019424016304817,0.0009425537370549,-5.7294156371862776e-05,-0.0010571420497986,-0.0020569899432254,-0.0030568378366523,-0.0040566857300791,-0.0050565336235059,-0.0060563815169327,-0.00645320830732,-0.0070562294103595,-0.0080560773037863,-0.0090559251972131,-0.0100557730906399,-0.0103471684494635,-0.0110556209840668,-0.0120554688774936,-0.0130553167709204,-0.0140551646643472,-0.015055012557774,-0.0160548604512008,-0.0170547083446276,-0.0180545562380544,-0.0190544041314813,-0.0200542520249081,-0.0210540999183349,-0.0220150432244688,1.201538716571084,1.8267644462151889,2.451990175859293,3.0772159055033974,3.7024416351475016,4.327667364791606,4.95289309443571,5.578118824079815,6.203344553723919,6.828570283368023,7.453796013012128,8.079021742656233,8.704247472300336,9.32947320194444,9.954698931588544,10.202842995493986,10.57992466123265,11.205150390876751,11.830376120520858,12.455601850164962,12.637817442189643,13.080827579809066,13.706053309453171,14.331279039097277,14.95650476874138,15.581730498385484,16.20695622802959,16.832181957673694,17.457407687317797,18.0826334169619,18.707859146606005,19.33308487625011,19.93398275649172
